name,ease of  business,education expedenture (% of gdp),gdp,health expedenture (% of gdp),industry % of GDP,Inflation Rate,Service % of economy,Uenmployment,GDP Per Capita,Populatoin Density,agriculture (% of gdp)
Afghanistan,40.717968,13.67010111,14151970481,10.90257973,20.49490898,6.124619936,48.30275328,8.804142857,344.0893111,62.9978418,27.50112665
Albania,64.76366,11.67296846,18882095518,6.093392246,21.43325105,6.725202715,47.29261504,11.808,6802.804519,96.5437913,18.62803245
Algeria,46.736176,15.35461712,1.91913E+11,5.03545021,42.29743377,9.265515516,42.20155105,11.55,4273.922183,18.85311563,11.38408397
American Samoa,0,0,601100000,0,0,0,0,0,13577.12375,221.365,0
Andorra,0,10.63990803,3352032737,6.521148341,11.92156863,0,78.13960784,0,41992.79336,169.8382979,0.495686275
Angola,39.344634,6.640471935,1.06714E+11,2.956530186,44.87639955,45.99352955,41.5760078,10.209,2998.501158,28.5465525,13.64910946
Antigua and Barbuda,59.596168,10.29309654,1757603704,5.06586881,21.30299461,7.531078346,65.58298019,0,18745.17351,213.0977273,1.85732679
Argentina,57.686538,14.63031242,6.3277E+11,8.83831249,23.4032965,0,53.02244929,6.491,13686.00867,16.62884117,6.444169171
Armenia,71.79071,11.39057098,19502783988,8.299488044,25.56104473,8.64091109,55.27343253,12.557,7014.206592,93.49256893,10.36437471
Aruba,0,20.61175957,2618521874,0,13.32319599,2.355868969,77.6369467,0,24599.76395,591.3611111,0.019014827
Australia,80.657646,13.5487594,1.67542E+12,8.83534511,27.87599754,6.594096713,62.42794118,3.661,64491.42989,3.355922581,3.172688693
Austria,78.773098,10.56043057,4.714E+11,10.11081457,26.17703858,8.546869932,62.11085513,4.707,52131.44666,107.8044326,1.307900075
Azerbaijan,69.973916,13.00018597,78721058824,3.006628736,55.93614983,13.85225901,32.19670646,5.462,7736.701232,117.4944111,4.764552127
Bahamas,58.387126,9.911515236,12897400000,5.069233031,8.24197125,5.605406336,79.39507187,10.056,31458.30081,29.53775216,0.572983702
Bahrain,70.123204,9.295536041,44390820479,3.953291239,47.8868999,3.625741043,47.93511226,1.399,30152.03468,1949.977483,0.257617475
Bangladesh,42.200396,11.91945839,4.60201E+11,2.57941362,33.9200805,7.696954372,51.03808268,4.699,2688.30395,1155.17165,11.21760104
Barbados,57.738316,15.54376221,5637914515,6.653863157,14.19367087,3.665280265,72.61489461,8.203,20018.51515,654.9651163,1.491158432
Belarus,72.714854,12.28588289,72793457588,5.644072306,33.18684879,15.20967527,48.27615037,4.17,7904.856243,44.35780288,7.708466145
Belgium,73.350558,11.85320432,5.78604E+11,9.87331245,20.72203389,9.597511729,68.25745164,5.631,49582.82536,382.2288241,0.659979813
Belize,55.354768,20.33755934,2824081836,5.382367565,15.87174207,1.33441566,59.22167937,9.687,6968.361585,17.64353505,7.599203649
Benin,50.81442,18.95328863,17401746309,2.857870239,17.01771681,1.350778636,46.89366165,1.654,1303.222014,116.354688,26.89644607
Bermuda,0,13.5179739,7550500000,0,7.049556922,0,90.17597327,0,118845.6211,38.09525441,0.43679512
Bhutan,65.512594,19.65393448,1510240200,3.907508997,40.06288577,5.639166714,38.30985635,3.604,1930.130422,20.21116392,17.68214985
Bolivia,50.835038,10.79161167,43068885673,5.557799748,27.02024674,1.746328729,46.75256955,4.419,3523.273733,11.12719147,11.52585739 
Bosnia and Herzegovina,65.005126,0,24527507288,8.991118522,25.21484826,14.02084408,53.73739144,14.053,7585.375002,63.14247217,4.712026053
Botswana,65.840802,18.92718845,20352322157,6.0189694,37.40124703,11.66556748,55.87295098,20.684,7737.654681,4.521506541,1.75881605
Brazil,56.827378,13.93618513,1.9201E+12,8.551063401,20.69762288,9.28010609,58.90998713,9.461,8917.673898,25.28409034,6.813181971
British Virgin Islands,0,14.32960224,0,0,0,0,0,0,0,208.7,0
Brunei Darussalam,65.537696,9.092996756,16681531646,2.247440662,67.92558548,3.682250306,32.52018254,7.203,37152.46624,77.81663778,1.096160297
Bulgaria,71.905592,10.81604853,89040398406,7.055295037,25.98597663,15.32525893,57.66068355,4.402,13772.47679,58.2451166,4.399447355
Burkina Faso,51.078568,21.95809746,18884619613,4.707103626,29.326267,14.29023543,40.91507779,5.175,832.8842657,82.68456714,20.40003439
Burundi,46.08327,20.63708305,3073414678,8.01927771,10.63778776,18.80087867,45.37360224,1.02,238.4418757,463.1540065,27.56671378 
Cabo Verde,53.973364,16.83806048,2314816792,4.713205077,16.80371244,1.578136483,56.67193332,13.57,3902.589049,147.1833747,3.688399698 
Cambodia,53.412624,12.71592726,29956769529,6.709669045,37.66749798,5.343702649,33.7353716,0.361,1786.560819,92.61954264,21.8692571
Cameroon,44.163128,12.57048321,44341646509,3.734955993,25.48003175,6.247677133,50.40849747,4.001,1588.478723,58.71305738,16.97843573
Canada,79.583546,12.08251174,2.13984E+12,10.15030857,26.86492749,6.802801153,64.60101441,5.209,54966.48884,3.940373188,1.823739108
Cayman Islands,0,12.52846432,4816765171,0,7.769469366,0.464618514,86.37678784,0,70106.90727,260.25,0.35215299
Central African Republic,33.344162,10.74205208,2382618615,5.212237369,19.04383597,5.583167352,40.56480868,6.363,427.0580963,8.955574818,29.33289326
Chad,36.086084,16.72261047,12704149842,4.777763174,49.46039202,5.788026878,26.19852754,1.412,716.8043812,13.80320483,22.59510249
Chile,71.9217,18.50933878,3.01025E+11,7.612986912,31.96952421,11.64386671,54.25886253,7.784,15355.5065,25.92264088,3.544385695
China,68.171342,11.9946636,1.79632E+13,4.553863559,39.92411382,1.973575557,52.77588829,4.886,12720.21564,147.1015053,7.299997885\
Colombia,69.272522,14.71510142,3.43939E+11,6.866690068,26.73398656,10.17723135,54.80478959,10.726,6630.282726,45.43594139,8.289409737
Comoros,46.875728,19.03499413,1242519407,5.578752291,9.080239623,3.191998997,50.24662771,8.811,1484.892465,449.6367544,36.41219601
Congo, Dem. Rep.,34.951698,18.40802383,58065953573,3.763110104,48.64819111,60.67470843,31.48239199,4.987,586.4642889,42.22435966,17.4404984
Congo, Rep.,38.598066,16.63486671,14615532210,2.146302774,36.24687109,3.043443347,48.48619768,21.795,2447.988989,17.45738012,8.531247463
Costa Rica,68.544866,22.40687857,68380838316,7.287283898,20.82867648,8.274774902,67.01520644,11.453,13198.82172,101.3860861,4.02189404
Cote d'Ivoire,54.661344,13.60931969,70018715017,4.431473311,21.98100708,5.276167243,53.69625854,2.637,2486.412194,87.33034175,16.71536749
Croatia,72.538236,8.960669209,70964606465,7.078808792,19.51472307,10.78058068,61.30694002,6.746,18413.23468,56.20006874,2.478577037
Cuba,0,15.12369855,65483366975,10.05615552,23.14367701,0,71.61677832,1.386,5840.372053,102.0359038,4.139642396
Curacao,0,12.41537476,2938579843,0,16.06588386,2.181541142,75.13807119,0,19591.05471,337.8288288,0.400788699
Cyprus,72.535918,15.35292407,28439052741,6.261494772,13.46915546,8.39548298,72.44251363,6.976,22724.19132,135.293214,1.650608745
Czechia,76.316346,9.930312838,2.90924E+11,6.89463302,30.68550416,15.10016515,57.89713795,2.37,27638.37328,133.4609652,2.11184499
Denmark,84.828798,14.60862782,3.95404E+11,9.790867415,20.87321982,7.696566999,66.30793557,4.172,66983.132,137.5358108,0.783992186
Djibouti,52.234374,19.52396029,3515109075,3.016357967,12.71386615,5.17980848,79.10506759,27.929,3136.11296,48.3124569,1.298542004
Dominica,61.096758,7.067325115,612048148.1,5.148089341,12.0893418,1.317248622,56.25676992,0,8414.536593,96.98266667,16.54917006
Dominican Republic,58.806852,22.44455719,1.13642E+11,4.61965334,33.06966487,8.811092093,54.4466646,7.121,10120.55116,230.7133963,5.787991236
Ecuador,57.491414,14.3392334,1.15049E+11,6.167611509,31.49225382,3.466169722,53.73269931,3.955,6391.282484,70.21492374,8.84162306
Egypt, Arab Rep.,56.908326,12.17214597,4.76748E+11,4.888612384,32.71143143,13.89566098,51.42884998,6.959,4295.407496,110.8294004,10.94575352
El Salvador,63.987628,18.47710037,32488720000,8.563611167,25.16538048,7.198616156,59.59763881,3.822,5127.321668,301.1593156,4.740845438
Equatorial Guinea,40.074176,0,11813908448,2.201277965,52.58181527,4.786717047,44.5103297,8.689,7053.467085,59.71151515,2.55829796
Eritrea,21.268866,5.601227403,1223860748,5.281036592,20.17219003,0,0,6.618,332.2068722,30.47552508,16.61947873
Estonia,80.683998,13.61406856,38100812959,5.943276383,24.01891887,19.39826341,61.45994146,5.851,28332.62909,29.70425051,2.515737559
Eswatini,58.430416,15.05323887,4854167638,7.14465298,37.04812671,6.822903055,49.16253209,24.389,4039.518036,69.22062212,10.02992115
Ethiopia,45.805204,23.8338112,1.26783E+11,4.237272695,22.72200725,12.9785302,36.55512034,4.018,1027.585918,109.1704538,37.63903107
Faroe Islands,0,15.92517047,2374113479,0,17.09116174,0,55.99270138,0,44718.6566,27.27248043,14.44934042
Fiji,61.653468,18.22403526,4943248200,3.313783805,17.63065554,4.520192664,50.29903763,4.334,5316.658385,50.89031199,9.164404413
Finland,80.081378,12.20921144,2.80826E+11,8.745029608,25.0919645,7.123507733,59.46137491,6.801,50536.62447,16.42331427,2.379264959
France,76.398452,9.670713329,2.78291E+12,10.84335114,17.38281834,5.222367484,70.31819195,7.445,40963.83734,123.7215474,1.804849789
French Polynesia,0,0,5652706617,0,0,0,0,13.098,18456.06985,88.23941227,4.515121298
Gabon,44.394724,13.352173,21071739228,2.972257705,57.39540067,4.231247983,33.14870655,21.469,8820.347338,8.925139164,5.647373791
Gambia,47.973268,14.01790047,2273060863,4.418312073,17.26163848,11.51311984,52.29598434,4.78,840.0101934,239.4683186,22.55026642
Georgia,81.867716,11.33337784,24605375420,7.82042265,21.54446723,11.89816542,59.89616763,11.311,6627.70698,53.26401722,6.087900159
Germany,79.49248,10.57005526,4.07219E+12,10.90196887,26.67731216,6.872574386,62.6827168,2.989,48432.45587,235.3547472,1.109321059
Ghana,58.759852,23.13866508,72838798788,3.682247685,31.51883064,31.2558951,44.09791995,3.867,2175.85977,140.3370657,18.78183903
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
Gibraltar,0,9.220170021,0,0,0,0,0,0,0,3264.9,0
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
Greece,67.39229,7.657411267,2.19066E+11,8.482977868,16.80569042,9.645259813,67.08750149,12.162,20732.05222,80.07374204,3.917607022
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
Greenland,0,18.59661929,2345473093,0,17.19406377,0,63.19045605,0,41394.84112,0.138046047,16.37079973
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
Grenada,53.422034,9.872722626,1256413185,5.26914256,15.14805993,1.906666687,62.93370817,0,10016.20869,368.9352941,4.324184931
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
Guam,0,0,5075850000,0,0,0,0,6.134,29549.58259,318.1,0
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
Guatemala,62.058124,19.3998909,95003333381,6.086884409,22.64955053,6.885128233,62.0391801,2.569,5473.208741,159.4075305,9.306532549
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
Guinea,47.14269,10.19935608,21227749389,4.213550726,28.83516912,10.493041,35.28852166,5.749,1531.656475,56.37086553,27.31991763
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
Guinea-Bissau,42.514344,11.49339702,1633559092,7.225550788,13.86446045,9.393838775,41.06594176,3.583,775.8289657,58.27749792,42.01985597
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
Guyana,55.033552,14.57171395,15357537068,4.01220644,25.40882127,3.937078257,39.98974728,12.358,18989.7902,3.762041215,26.11747769
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
Haiti,38.349214,13.12404442,20253551885,4.077935161,29.34113803,33.98393195,48.16746537,14.836,1748.257132,417.4773333,20.27534931
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
Honduras,55.99769,13.50414085,31717700115,7.757914435,26.25433344,9.089639115,56.38440988,7.099,3040.17308,92.74477731,12.57248573
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
"Hong Kong SAR, China",84.906668,20.48508821,3.59839E+11,0,7.789818162,1.881367072,88.97256726,5.058,48983.6238,6660.683908,0.069265617
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
Hungary,72.35731,9.887038049,1.78789E+11,7.198799179,25.78178472,14.60814395,56.41245405,3.423,18463.20852,104.0901322,2.74790798
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
Iceland,78.989322,15.43137087,27841648044,8.671932915,21.34000562,8.308755116,64.39712547,3.809,72902.97995,3.70776699,4.070241249
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
India,61.98211,14.06250685,3.38509E+12,3.54577463,25.62080669,6.699034141,48.58282463,7.33,2388.621198,431.1107649,16.61835277
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
Indonesia,66.280608,16.75891736,1.3191E+12,2.668208917,41.42929595,4.209463834,41.79085399,3.554,4787.999308,144.0669532,12.39965922
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
"Iran, Islamic Rep.",56.79356,20.93096815,3.88544E+11,5.866489296,40.21873279,19.43624426,46.93987079,10.964,4387.825715,50.74095063,12.46061745
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
Iraq,44.196292,13.5,2.64182E+11,3.356173146,62.74905988,4.994765964,34.78876319,15.547,5937.195466,101.9411374,2.851425262
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
Ireland,79.833916,12.91261859,5.29245E+11,8.033543478,41.0525833,7.80737541,52.30012346,4.362,104038.9461,72.38173022,1.080178518
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
