energy,tempo,danceability,loudness,liveness,valence,time_signature,speechiness,track_popularity,mode,key,duration_ms,acousticness
0.592,157.969,0.521,-7.777,0.122,0.535,3,0.0304,100,0,6,251668,0.308
0.507,104.978,0.747,-10.171,0.117,0.438,4,0.0358,97,1,2,210373,0.2
0.808,108.548,0.554,-4.169,0.159,0.372,4,0.0368,93,1,1,166300,0.214
0.91,112.966,0.67,-4.07,0.304,0.786,4,0.0634,81,0,0,157280,0.0939
0.783,149.027,0.777,-4.477,0.355,0.939,4,0.26,98,0,0,169917,0.0283
0.582,116.712,0.7,-5.96,0.0881,0.785,4,0.0356,94,0,11,218424,0.0502
0.561,150.069,0.669,-6.538,0.0954,0.841,4,0.0411,88,1,10,169698,0.495
0.247,148.101,0.467,-12.002,0.17,0.126,4,0.0431,93,0,6,261467,0.612
0.416,94.926,0.492,-10.439,0.203,0.297,4,0.0254,71,1,11,211979,0.686
0.722,119.973,0.769,-5.485,0.111,0.57,4,0.0507,92,0,11,256000,0.0584
0.667,130.019,0.776,-6.622,0.0761,0.618,4,0.0983,85,1,7,145219,0.0146
0.586,107.071,0.669,-6.073,0.104,0.579,4,0.054,88,1,9,186365,0.274
0.806,104.032,0.608,-3.443,0.191,0.587,4,0.0486,79,1,1,181821,0.121
0.709,81.012,0.722,-4.95,0.0804,0.604,4,0.0273,86,1,9,171292,0.0633
0.757,139.982,0.742,-4.981,0.305,0.957,4,0.0421,88,1,6,184841,0.0187
0.917,100.987,0.562,-2.768,0.488,0.501,4,0.117,86,0,11,229997,0.0513
0.787,109.939,0.734,-3.951,0.312,0.672,4,0.116,82,0,5,155757,0.126
0.843,122.064,0.619,-5.348,0.164,0.746,4,0.0284,86,0,5,204829,0.00948
0.406,115.94,0.53,-7.507,0.133,0.338,3,0.033,90,1,10,157147,0.656
0.782,119.992,0.727,-8.529,0.225,0.655,4,0.042,86,0,8,177599,0.0563
0.812,80.09,0.505,-3.986,0.444,0.664,4,0.461,88,1,1,255916,0.285
0.76,103.969,0.701,-5.478,0.185,0.69,4,0.0285,90,1,0,175459,0.107
0.725,116.988,0.894,-4.984,0.0815,0.838,4,0.0432,89,0,10,136627,0.00434
0.563,105.008,0.833,-5.593,0.139,0.343,4,0.204,82,0,4,182857,0.528
0.628,119.98,0.757,-6.715,0.221,0.321,4,0.101,85,0,4,217333,0.189
0.855,127.986,0.638,-4.86,0.245,0.731,4,0.0264,84,1,7,178206,0.00757
0.62,117.038,0.741,-5.505,0.0398,0.934,4,0.0412,77,1,10,251424,0.0295
0.339,97.989,0.705,-10.612,0.12,0.457,4,0.0278,84,1,7,236907,0.552
0.651,112.648,0.694,-6.968,0.0787,0.471,3,0.0784,93,1,6,225881,0.496
0.601,123.994,0.635,-6.129,0.11,0.332,4,0.0295,88,0,1,172533,0.246
0.691,167.029,0.836,-4.222,0.282,0.703,4,0.363,70,1,1,149461,0.00586
0.646,115.842,0.645,-8.334,0.074,0.295,4,0.0427,81,1,5,228639,0.0615
0.471,105.029,0.472,-5.692,0.14,0.219,3,0.0603,85,1,10,180304,0.151
0.709,194.055,0.744,-5.778,0.0847,0.712,4,0.284,84,0,6,130880,0.0501
0.904,167.033,0.739,-2.655,0.0948,0.788,4,0.0442,85,0,5,129883,0.549
0.604,159.92,0.561,-4.409,0.104,0.242,3,0.0337,89,1,9,210689,0.199
0.668,90.969,0.646,-5.203,0.212,0.64,4,0.0282,82,1,2,148318,0.491
0.668,128.027,0.924,-6.795,0.0678,0.787,4,0.0469,93,1,11,195824,0.446
0.454,159.982,0.689,-7.643,0.0707,0.912,4,0.0584,89,1,2,159246,0.0351
0.386,192.004,0.504,-10.976,0.0961,0.281,4,0.0308,84,1,11,228965,0.502
0.681,155.079,0.56,-6.304,0.106,0.388,4,0.244,89,0,6,223320,0.103
0.472,101.061,0.898,-7.001,0.141,0.214,4,0.0776,88,1,1,274192,0.0107
0.711,146.921,0.487,-4.22,0.152,0.317,4,0.0322,85,1,8,151647,0.000175
0.712,91.98,0.848,-3.574,0.106,0.692,4,0.0981,84,0,1,298131,0.221
0.645,114.933,0.882,-7.233,0.057,0.788,4,0.0601,87,1,1,104419,0.475
0.872,184.115,0.466,-3.344,0.121,0.806,4,0.0336,89,1,7,190428,0.0156
0.756,116.034,0.66,-3.743,0.193,0.838,4,0.032,92,0,0,170888,0.00289
0.508,147.125,0.579,-9.484,0.0575,0.609,4,0.027,81,1,2,391376,0.00574
0.89,133.52,0.502,-5.175,0.217,0.259,4,0.0364,83,1,4,292880,0.000147
0.446,123.596,0.743,-7.807,0.337,0.278,4,0.0683,82,0,4,232107,0.0039
0.43,91.844,0.515,-9.935,0.129,0.104,4,0.0372,86,1,7,238640,0.0097
0.824,120.125,0.5,-5.846,0.0916,0.539,4,0.0388,76,0,4,218920,0.00016
0.767,96.483,0.592,-2.788,0.127,0.328,4,0.027,81,0,9,329733,0.0021
0.952,125.304,0.445,-5.321,0.112,0.624,4,0.0522,84,1,6,356067,0.09
0.795,158.691,0.464,-9.267,0.399,0.612,4,0.0926,81,1,1,202267,0.0493
0.492,120.151,0.828,-9.744,0.128,0.789,4,0.0276,84,1,0,257800,0.0644
0.881,158.066,0.413,-5.541,0.0805,0.364,4,0.0367,81,0,11,250547,5.99E-05
0.716,94.379,0.535,-5.025,0.659,0.901,4,0.0431,77,1,4,175173,0.326
0.322,93.503,0.475,-10.687,0.11,0.387,4,0.0283,79,1,7,206267,0.367
0.394,104.114,0.693,-15.882,0.247,0.721,4,0.0428,74,1,0,238747,0.0782
0.899,152.445,0.475,-4.321,0.14,0.603,4,0.0637,72,0,9,230667,0.00375
0.943,85.064,0.442,-3.205,0.091,0.781,4,0.0602,80,1,3,181533,0.00293
0.345,84.581,0.559,-13.496,0.141,0.458,4,0.0459,82,1,4,264307,0.0576
0.814,147.193,0.673,-5.411,0.343,0.728,4,0.0367,70,1,9,252200,0.0134
0.767,127.361,0.532,-5.509,0.39,0.755,4,0.0574,81,1,7,210173,0.00287
0.863,136.302,0.723,-7.89,0.128,0.931,4,0.0338,76,1,2,222813,0.0383
0.449,100.456,0.486,-10.298,0.54,0.549,4,0.0267,76,1,5,254293,0.166
